A retail sales dataset adapted from UCL (https://archive.ics.uci.edu/dataset/352/online+retail),,,,,,,
"#InvoiceNo: a 6-digit integral number uniquely assigned to each transaction. If this code starts with letter 'c', it indicates a cancellation",,,,,,,
#StockCode: a 5-digit integral number uniquely assigned to each distinct product,,,,,,,
#Description: product name,,,,,,,
#Quantity: the quantities of each product (item) per transaction,,,,,,,
#InvoiceDate: the day and time when each transaction was generated,,,,,,,
#UnitPrice: product price per unit,,,,,,,
#CustomerID: a 5-digit integral number uniquely assigned to each customer,,,,,,,
#Country: the name of the country where each customer resides,,,,,,,
,,,,,,,
InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536425,22650,CERAMIC PIRATE CHEST MONEY BANK,12,12/1/10 12:08,1.45,13758,United Kingdom
536425,22508,DOORSTOP RETROSPOT HEART,8,12/1/10 12:08,3.75,13758,United Kingdom
536425,21411,GINGHAM HEART  DOORSTOP RED,3,12/1/10 12:08,4.25,13758,United Kingdom
536425,22511,RETROSPOT BABUSHKA DOORSTOP,4,12/1/10 12:08,3.75,13758,United Kingdom
536425,22451,SILK PURSE BABUSHKA RED,6,12/1/10 12:08,3.35,13758,United Kingdom
536425,22449,SILK PURSE BABUSHKA PINK,6,12/1/10 12:08,3.35,13758,United Kingdom
536425,22768,FAMILY PHOTO FRAME CORNICE,2,12/1/10 12:08,9.95,13758,United Kingdom
536425,22829,SWEETHEART WIRE WALL TIDY,2,12/1/10 12:08,9.95,13758,United Kingdom
536425,22961,JAM MAKING SET PRINTED,12,12/1/10 12:08,1.45,13758,United Kingdom
536437,21154,RED RETROSPOT OVEN GLOVE ,200,12/1/10 12:12,1.06,13694,United Kingdom
536437,22189,CREAM HEART CARD HOLDER,72,12/1/10 12:12,3.39,13694,United Kingdom
536437,17021,NAMASTE SWAGAT INCENSE,600,12/1/10 12:12,0.24,13694,United Kingdom
536437,22059,CERAMIC STRAWBERRY DESIGN MUG,48,12/1/10 12:12,1.25,13694,United Kingdom
536437,22188,BLACK HEART CARD HOLDER,36,12/1/10 12:12,3.39,13694,United Kingdom
536437,84678,CLASSICAL ROSE SMALL VASE,48,12/1/10 12:12,1.25,13694,United Kingdom
536446,85172,HYACINTH BULB T-LIGHT CANDLES,32,12/1/10 12:15,0.42,15983,United Kingdom
536446,22142,CHRISTMAS CRAFT WHITE FAIRY ,2,12/1/10 12:15,1.45,15983,United Kingdom
536446,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,12/1/10 12:15,2.1,15983,United Kingdom
536446,21591,COSY HOUR CIGAR BOX MATCHES ,6,12/1/10 12:15,1.25,15983,United Kingdom
536446,22480,RED TEA TOWEL CLASSIC DESIGN,12,12/1/10 12:15,1.25,15983,United Kingdom
536446,22294,HEART FILIGREE DOVE  SMALL,48,12/1/10 12:15,1.25,15983,United Kingdom
536446,21156,RETROSPOT CHILDRENS APRON,1,12/1/10 12:15,1.95,15983,United Kingdom
536446,10133,COLOURING PENCILS BROWN TUBE,5,12/1/10 12:15,0.85,15983,United Kingdom
536446,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,6,12/1/10 12:15,2.55,15983,United Kingdom
536446,22294,HEART FILIGREE DOVE  SMALL,24,12/1/10 12:15,1.25,15983,United Kingdom
536446,84836,ZINC METAL HEART DECORATION,12,12/1/10 12:15,1.25,15983,United Kingdom
536446,20774,GREEN FERN NOTEBOOK,2,12/1/10 12:15,1.65,15983,United Kingdom
536446,20773,BLUE PAISLEY NOTEBOOK,2,12/1/10 12:15,1.65,15983,United Kingdom
536446,20777,CHRYSANTHEMUM NOTEBOOK,2,12/1/10 12:15,1.65,15983,United Kingdom
536446,16016,LARGE CHINESE STYLE SCISSOR,10,12/1/10 12:15,0.85,15983,United Kingdom
536446,16014,SMALL CHINESE STYLE SCISSOR,10,12/1/10 12:15,0.42,15983,United Kingdom
536446,21890,S/6 WOODEN SKITTLES IN COTTON BAG,2,12/1/10 12:15,2.95,15983,United Kingdom
536446,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,12/1/10 12:15,1.25,15983,United Kingdom
536446,22619,SET OF 6 SOLDIER SKITTLES,8,12/1/10 12:15,3.75,15983,United Kingdom
536446,22620,4 TRADITIONAL SPINNING TOPS,6,12/1/10 12:15,1.25,15983,United Kingdom
536446,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12,12/1/10 12:15,2.55,15983,United Kingdom
536446,85169B,BLACK LOVE BIRD CANDLE,24,12/1/10 12:15,1.25,15983,United Kingdom
536446,21156,RETROSPOT CHILDRENS APRON,3,12/1/10 12:15,1.95,15983,United Kingdom
536446,21651,HANGING GLASS ETCHED TEALIGHT,6,12/1/10 12:15,1.65,15983,United Kingdom
536446,21651,HANGING GLASS ETCHED TEALIGHT,6,12/1/10 12:15,1.65,15983,United Kingdom
536446,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,10,12/1/10 12:15,2.95,15983,United Kingdom
