"#Modified dataset.  Original Data Source Credit: Small Area Health Insurance Estimates Program, U.S. Census Bureau. (https://stanfordphs.redivis.com/datasets/4mz7-dh26w34ns)",,,,,,,,,,,,,,,
# Here are the descriptions of this dataset:,,,,,,,,,,,,,,,
# year - Year of Estimate,,,,,,,,,,,,,,,
# statefips - Unique FIPS code for each state,,,,,,,,,,,,,,,
# countyfips - Unique FIPS code for each county within a state,,,,,,,,,,,,,,,
"# geocat - Geography category, 40 – State geographic identifier, 50 – County geographic identifier",,,,,,,,,,,,,,,
# agecat - Age category,,,,,,,,,,,,,,,
# racecat - Race category,,,,,,,,,,,,,,,
# sexcat - Sex category,,,,,,,,,,,,,,,
# iprcat - Income category,,,,,,,,,,,,,,,
# NIPR - Number in demographic group for income category,,,,,,,,,,,,,,,
# NUI - Number uninsured,,,,,,,,,,,,,,,
# NIC - Number insured,,,,,,,,,,,,,,,
# PCTUI - Percent uninsured in demographic group for income category,,,,,,,,,,,,,,,
# PCTIC - Percent insured in demographic group for income category,,,,,,,,,,,,,,,
# PCTELIG - Percent uninsured in demographic group for all income levels,,,,,,,,,,,,,,,
# PCTLIIC - Percent insured in demographic group for all income levels,,,,,,,,,,,,,,,
# state_name - State name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
year,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,NUI,NIC,PCTUI,PCTIC,PCTELIG,PCTLIIC,state_name
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 200% of poverty,99782,27657,72125,27.7,72.3,5.4,14,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 250% of poverty,134506,34046,100460,25.3,74.7,6.6,19.5,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 138% of poverty,60423,19014,41409,31.5,68.5,3.7,8.1,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Male,At or below 400% of poverty,243284,46768,196516,19.2,80.8,9.1,38.2,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Male,Between 138% - 400% of poverty,182861,27754,155107,15.2,84.8,5.4,30.2,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 200% of poverty,124202,28429,95773,22.9,77.1,5.3,17.9,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 250% of poverty,161075,33510,127565,20.8,79.2,6.2,23.8,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 138% of poverty,81000,20860,60140,25.8,74.2,3.9,11.2,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Female,At or below 400% of poverty,272955,43477,229478,15.9,84.1,8.1,42.8,Alabama                                                               
2020,1,0,40,40 to 64 years,"White alone, not Hispanic",Female,Between 138% - 400% of poverty,191955,22617,169338,11.8,88.2,4.2,31.6,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 200% of poverty,59787,16128,43659,27,73,9.9,26.7,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 250% of poverty,75296,19035,56261,25.3,74.7,11.7,34.4,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 138% of poverty,39793,11800,27993,29.7,70.3,7.2,17.1,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Male,At or below 400% of poverty,114615,24079,90536,21,79,14.7,55.4,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Male,Between 138% - 400% of poverty,74822,12279,62543,16.4,83.6,7.5,38.3,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 200% of poverty,90210,16511,73699,18.3,81.7,7.7,34.6,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 250% of poverty,111981,19024,92957,17,83,8.9,43.6,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 138% of poverty,61711,12370,49341,20,80,5.8,23.2,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Female,At or below 400% of poverty,159032,23166,135866,14.6,85.4,10.9,63.8,Alabama                                                               
2020,1,0,40,40 to 64 years,"Black alone, not Hispanic",Female,Between 138% - 400% of poverty,97321,10796,86525,11.1,88.9,5.1,40.6,Alabama                                                               
2020,1,0,40,40 to 64 years,Hispanic (any race),Male,At or below 200% of poverty,10817,5997,4820,55.4,44.6,21.4,17.2,Alabama                                                               
2020,1,0,40,40 to 64 years,Hispanic (any race),Male,At or below 250% of poverty,13914,7323,6591,52.6,47.4,26.1,23.5,Alabama                                                               
2020,1,0,40,40 to 64 years,Hispanic (any race),Male,At or below 138% of poverty,6563,3881,2682,59.1,40.9,13.8,9.6,Alabama                                                               
2020,1,0,40,40 to 64 years,Hispanic (any race),Male,At or below 400% of poverty,19986,9288,10698,46.5,53.5,33.1,38.2,Alabama                                                               
